"Country","Repetition_Score","nostalgia_index","Avg_Skip_Rate","Positive_Hours","economics_uncertainty_index","social_support_index","life_eval_index"
"Argentina",44.4472347896549,3.90387411859365,22.7047595458716,0.584685052245892,-0.0975141379689308,0.0517436356355183,-0.15875763257138
"Australia",48.4072765963735,3.64046222589286,18.5616797347231,0.57725303473279,0.275449997546613,-0.883418031593603,-0.280852229219914
"Brazil",49.4019088355465,3.86038403811608,20.2230774296472,0.464291119061325,-0.182333491125314,0.420811146697533,0.958923928362909
"Canada",42.4145760316955,3.02238111223187,20.4529825304292,0.494321927582345,0.572824455951627,0.221586781470136,-0.398043531553884
"France",70.49386023666,3.43090684454683,18.3758588175216,0.476807964935658,0.170188611810115,-0.0738786912650586,-0.42393343917794
"Germany",77.8927723108246,2.89042513108234,14.5720794029907,0.591120709891412,1.15982879697284,0.7147895031584,0.133681517710549
"India",47.9899356134256,3.82981857265577,18.5864359395738,0.515291543157547,-0.951603301242173,-0.146985024167108,0.363160828063942
"Indonesia",37.653287839136,3.05090097499897,24.1789189099308,0.393204384763673,-1.00875497689887,-0.355793954998279,0.356884097698087
"Italy",55.7349360319951,3.42135609161596,22.1322308590721,0.467696069706553,0.209558150491773,0.14940595083929,-0.259865615910395
"Japan",36.5894160931811,2.43110825060353,22.7277963006283,0.552870721059362,0.302918902371397,0.0457120892716957,-0.00694804509020305
"Mexico",53.1803557446674,3.93646445640934,19.0579076886606,0.393880272006252,-0.747780246341137,1.2058604133027,-0.596729639968633
"Netherlands",46.4055333829399,3.45545856824856,13.5751263913528,0.355866581051996,1.25364508752295,-0.316117566153736,-0.775507346179867
"Russia",43.649898656023,3.95437322616567,21.5493958802653,0.348622977467321,-0.609696198592484,0.318538492825917,0.831926037399832
"South Africa",56.2008934884618,3.6998640105312,22.4604845117442,0.570508773245819,-0.698950195893094,-1.04630412879319,1.07013372527635
"South Korea",66.0266159122602,3.36707094012831,19.9908294338176,0.437527607469522,0.470957090566868,0.499949025963407,1.22547317102078
"Spain",40.3285176971155,3.37108339044426,17.5835566608565,0.363298907213933,-0.129862163402484,0.488877344085309,0.112694904401044
"Sweden",61.3787495648633,3.34087059600483,23.7886240799334,0.502960016033335,0.630620114640289,-0.0748041935362647,0.0658183834674435
"Turkey",53.677534521421,3.93715393849857,20.0979040613502,0.266382283682704,-1.57862531405298,-0.316332464576948,0.131229870553279
"United Kingdom",44.7799307070448,3.65270770752113,19.2569169976407,0.579346711448269,0.154413962026338,-0.547565566165877,0.021393509691145
"United States",63.5714567365749,2.86650893454953,18.4227107518049,0.449870831923894,0.804714855616655,-0.356074761999841,-2.37068249397315
